area_of_activity,country,end_day,end_month,end_year,eruption_category,eruption_number,evidence_category,evidence_method_dating,last_eruption_year,major_rock_1,major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5,Pop. Density (per sq. mi.),primary_volcano_type,Region,region,start_day,start_month,start_year,subregion,tectonic_settings,vei,volcano_name,volcano_name (eruptions.csv),volcano_number,volcano_number (eruptions.csv),Area_sq_miles,elevation,latitude,longitude,Population,population_within_100_km,population_within_10_km,population_within_30_km,population_within_5_km
NA,Indonesia,NA,NA,NA,Confirmed Eruption,15853,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite, , , ,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,0,0,1584,Java,Subduction zone / Continental crust (>25 km),3,Merapi,Merapi,263250,263250,1919440,2910,-7.54,110.446,245452739,24728414,185849,4348473,49205
NA,Chile,NA,NA,NA,Confirmed Eruption,21033,Eruption Observed,Varve Count,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Rhyolite, , , , , , , ,"21,3",Stratovolcano,LATIN AMER. & CARIB,South America,,,1584,Central Chile and Argentina,Subduction zone / Continental crust (>25 km),2,Villarrica,Villarrica,357120,357120,756950,2847,-39.42,-71.93,16134219,667788,1067,35118,477
Naka-dake,Japan,NA,NA,NA,Confirmed Eruption,17245,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Dacite,Rhyolite,Basalt / Picro-Basalt, , , , , , ,"337,4",Caldera,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",14,12,1583,Ryukyu Islands and Kyushu,Subduction zone / Continental crust (>25 km),2,Asosan,Asosan,282110,282110,377835,1592,32.884,131.104,127463611,6507519,75559,234591,75559
Reykjaneshryggur (near Eldeyjar Islands),Iceland,NA,NA,NA,Confirmed Eruption,12503,Eruption Observed,Historical Observations,1831,Basalt / Picro-Basalt, , , , , , , , , ,"2,9",Others,WESTERN EUROPE,Iceland and Arctic Ocean,15,7,1583,Iceland (southwestern),Rift zone / Oceanic crust (< 15 km),2,Reykjanes,Reykjanes,371020,371020,103000,140,63.85,-22.566,299388,192922,13995,15542,13995
NA,Japan,NA,NA,NA,Confirmed Eruption,17689,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"337,4",Complex,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",3,7,1582,Honshu,Subduction zone / Continental crust (>25 km),2,Asamayama,Asamayama,283110,283110,377835,2568,36.406,138.523,127463611,7629353,22371,457576,583
NA,Ecuador,0,0,1598,Confirmed Eruption,11482,Eruption Observed,Historical Observations,2002,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"47,8",Stratovolcano,LATIN AMER. & CARIB,South America,5,6,1582,Ecuador,Subduction zone / Continental crust (>25 km),3,Guagua Pichincha,Guagua Pichincha,352020,352020,283560,4784,-0.171,-78.598,13547510,3581801,32488,2064475,449
Naka-dake,Japan,NA,NA,NA,Confirmed Eruption,17244,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Dacite,Rhyolite,Basalt / Picro-Basalt, , , , , , ,"337,4",Caldera,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",17,2,1582,Ryukyu Islands and Kyushu,Subduction zone / Continental crust (>25 km),2,Asosan,Asosan,282110,282110,377835,1592,32.884,131.104,127463611,6507519,75559,234591,75559
NA,Japan,NA,NA,NA,Confirmed Eruption,17688,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"337,4",Complex,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",16,2,1582,Honshu,Subduction zone / Continental crust (>25 km),2,Asamayama,Asamayama,283110,283110,377835,2568,36.406,138.523,127463611,7629353,22371,457576,583
NA,Japan,NA,NA,NA,Confirmed Eruption,17480,Eruption Observed,Historical Observations,1659,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",0,0,1582,Honshu,Subduction zone / Continental crust (>25 km),2,Hakusan,Hakusan,283050,283050,377835,2702,36.155,136.771,127463611,5959200,807,63965,474
NA,Chile,NA,NA,NA,Confirmed Eruption,21034,Eruption Observed,Varve Count,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Rhyolite, , , , , , , ,"21,3",Stratovolcano,LATIN AMER. & CARIB,South America,,,1582,Central Chile and Argentina,Subduction zone / Continental crust (>25 km),2,Villarrica,Villarrica,357120,357120,756950,2847,-39.42,-71.93,16134219,667788,1067,35118,477
