area_of_activity,country,end_day,end_month,end_year,eruption_category,eruption_number,evidence_category,evidence_method_dating,last_eruption_year,major_rock_1,major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5,Pop. Density (per sq. mi.),primary_volcano_type,Region,region,start_day,start_month,start_year,subregion,tectonic_settings,vei,volcano_name,volcano_name (eruptions.csv),volcano_number,volcano_number (eruptions.csv),Area_sq_miles,elevation,latitude,longitude,Population,population_within_100_km,population_within_10_km,population_within_30_km,population_within_5_km
NA,Indonesia,2,4,2020,Confirmed Eruption,22354,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,23,3,2020,Sulawesi,Subduction zone / Continental crust (>25 km),NA,Soputan,Soputan,266030,266030,1919440,1785,1.112,124.737,245452739,1696768,69991,501336,4724
NA,France,6,4,2020,Confirmed Eruption,22343,Eruption Observed,Historical Observations,2020,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,"111,3",Shield,WESTERN EUROPE,Middle East and Indian Ocean,10,2,2020,Indian Ocean (western),Intraplate / Oceanic crust (< 15 km),NA,"Fournaise, Piton de la","Fournaise, Piton de la",233020,233020,547030,2632,-21.244,55.708,60876136,717820,55859,246792,55859
NA,Costa Rica,17,4,2020,Confirmed Eruption,22346,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Rhyolite,Dacite, , , , , , , ,"79,8",Complex,LATIN AMER. & CARIB,México and Central America,31,1,2020,Costa Rica,Subduction zone / Continental crust (>25 km),NA,Rincon de la Vieja,Rincon de la Vieja,345020,345020,51100,1916,10.83,-85.324,4075261,659105,1428,78668,271
NA,Philippines,22,1,2020,Confirmed Eruption,22344,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , ,Rhyolite, , , , ,"298,2",Caldera,ASIA (EX. NEAR EAST),Philippines and SE Asia,12,1,2020,Luzon,Subduction zone / Continental crust (>25 km),NA,Taal,Taal,273070,273070,300000,311,14.002,120.993,89468677,24814047,717090,2380326,717090
NA,Japan,17,4,2020,Confirmed Eruption,22345,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite, , , , ,Basalt / Picro-Basalt, , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",11,1,2020,Ryukyu Islands and Kyushu,Subduction zone / Oceanic crust (< 15 km),NA,Kuchinoerabujima,Kuchinoerabujima,282050,282050,377835,657,30.443,130.217,127463611,149518,1698,5348,1544
1978/90 Crater Complex,New Zealand,9,12,2019,Confirmed Eruption,22338,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"15,2",Stratovolcano,OCEANIA,New Zealand to Fiji,9,12,2019,New Zealand,Subduction zone / Continental crust (>25 km),2,Whakaari/White Island,Whakaari/White Island,241040,241040,268680,294,-37.52,177.18,4076140,190290,5,5,5
NA,United States of America,15,3,2020,Confirmed Eruption,22341,Eruption Observed,Historical Observations,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite,Trachyandesite / Basaltic Trachyandesite, , , , , , ,"31,0",Stratovolcano,NORTHERN AMERICA,Alaska,7,12,2019,Aleutian Islands,Subduction zone / Intermediate crust (15-25 km),NA,Semisopochnoi,Semisopochnoi,311060,311060,9631420,1221,51.93,179.58,298444215,0,0,0,0
NA,Japan,16,4,2020,Confirmed Eruption,22339,Eruption Observed,Historical Observations,2020,Rhyolite,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , ,"337,4",Caldera,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",2,11,2019,Ryukyu Islands and Kyushu,Subduction zone / Oceanic crust (< 15 km),NA,Kikai,Kikai,282060,282060,377835,704,30.793,130.305,127463611,1002905,152,152,152
NA,Russia,17,4,2020,Confirmed Eruption,22335,Eruption Observed,Historical Observations,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kamchatka and Mainland Asia,24,10,2019,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),NA,Klyuchevskoy,Klyuchevskoy,300260,300260,17075200,4754,56.056,160.642,142893540,12406,0,292,0
NA,Japan,25,8,2019,Confirmed Eruption,22326,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"337,4",Complex,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",7,8,2019,Honshu,Subduction zone / Continental crust (>25 km),NA,Asamayama,Asamayama,283110,283110,377835,2568,36.406,138.523,127463611,7629353,22371,457576,583
NA,Indonesia,17,9,2019,Confirmed Eruption,22325,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,26,7,2019,Java,Subduction zone / Continental crust (>25 km),NA,Tangkuban Parahu,Tangkuban Parahu,263090,263090,1919440,2084,-6.77,107.6,245452739,32855731,518822,5729309,100608
Summit crater,United States of America,9,4,2020,Confirmed Eruption,22330,Eruption Observed,Historical Observations,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Dacite,Trachyte / Trachydacite,Rhyolite, , ,"31,0",Stratovolcano,NORTHERN AMERICA,Alaska,23,7,2019,Aleutian Islands,Subduction zone / Continental crust (>25 km),NA,Shishaldin,Shishaldin,311360,311360,9631420,2857,54.756,-163.97,298444215,197,0,10,0
NA,Colombia,13,4,2020,Confirmed Eruption,22329,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"38,3",Stratovolcano,LATIN AMER. & CARIB,South America,23,7,2019,Colombia,Subduction zone / Continental crust (>25 km),NA,"Ruiz, Nevado del","Ruiz, Nevado del",351020,351020,1138910,5279,4.892,-75.324,43593035,4252435,20146,507608,3849
NA,United States of America,24,8,2019,Confirmed Eruption,22328,Eruption Observed,Historical Observations,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite,Trachyandesite / Basaltic Trachyandesite, , , , , , ,"31,0",Stratovolcano,NORTHERN AMERICA,Alaska,16,7,2019,Aleutian Islands,Subduction zone / Intermediate crust (15-25 km),NA,Semisopochnoi,Semisopochnoi,311060,311060,9631420,1221,51.93,179.58,298444215,0,0,0,0
NA,France,27,10,2019,Confirmed Eruption,22318,Eruption Observed,Historical Observations,2020,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,"111,3",Shield,WESTERN EUROPE,Middle East and Indian Ocean,11,6,2019,Indian Ocean (western),Intraplate / Oceanic crust (< 15 km),NA,"Fournaise, Piton de la","Fournaise, Piton de la",233020,233020,547030,2632,-21.244,55.708,60876136,717820,55859,246792,55859
NA,Russia,7,10,2019,Confirmed Eruption,22320,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite, , , , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kuril Islands,16,5,2019,Kuril Islands,Subduction zone / Intermediate crust (15-25 km),2,Sarychev Peak,Sarychev Peak,290240,290240,17075200,1496,48.092,153.2,142893540,148,143,143,17
NA,Mexico,12,7,2019,Confirmed Eruption,22323,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite, , , , ,Dacite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, ,"54,5",Stratovolcano,LATIN AMER. & CARIB,México and Central America,11,5,2019,Mexico,Subduction zone / Continental crust (>25 km),NA,Colima,Colima,341040,341040,1972550,3850,19.514,-103.62,107449525,1494790,746,303490,76
NA,Japan,17,4,2020,Confirmed Eruption,22317,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Dacite,Rhyolite,Basalt / Picro-Basalt, , , , , , ,"337,4",Caldera,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",16,4,2019,Ryukyu Islands and Kyushu,Subduction zone / Continental crust (>25 km),NA,Asosan,Asosan,282110,282110,377835,1592,32.884,131.104,127463611,6507519,75559,234591,75559
NA,Russia,2,7,2019,Confirmed Eruption,22310,Eruption Observed,Historical Observations,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kamchatka and Mainland Asia,9,4,2019,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),NA,Klyuchevskoy,Klyuchevskoy,300260,300260,17075200,4754,56.056,160.642,142893540,12406,0,292,0
NA,Ecuador,17,4,2020,Confirmed Eruption,22312,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite, , , , ,Dacite,Basalt / Picro-Basalt, , , ,"47,8",Stratovolcano,LATIN AMER. & CARIB,South America,26,3,2019,Ecuador,Subduction zone / Continental crust (>25 km),NA,Sangay,Sangay,352090,352090,283560,5286,-2.005,-78.341,13547510,1355275,1675,15130,231
NA,Nicaragua,4,3,2019,Confirmed Eruption,22311,Eruption Observed,Historical Observations,2019,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite, , , , , , , ,"43,0",Stratovolcano,LATIN AMER. & CARIB,México and Central America,4,3,2019,Nicaragua,Subduction zone / Continental crust (>25 km),NA,San Cristobal,San Cristobal,344020,344020,129494,1745,12.702,-87.004,5570129,2002579,7876,351227,208
NA,France,10,3,2019,Confirmed Eruption,22307,Eruption Observed,Historical Observations,2020,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,"111,3",Shield,WESTERN EUROPE,Middle East and Indian Ocean,18,2,2019,Indian Ocean (western),Intraplate / Oceanic crust (< 15 km),NA,"Fournaise, Piton de la","Fournaise, Piton de la",233020,233020,547030,2632,-21.244,55.708,60876136,717820,55859,246792,55859
Bromo,Indonesia,28,7,2019,Confirmed Eruption,22306,Eruption Observed,Historical Observations,2019,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,18,2,2019,Java,Subduction zone / Continental crust (>25 km),2,Tengger Caldera,Tengger Caldera,263310,263310,1919440,2329,-7.942,112.95,245452739,22628278,69451,1420878,27826
NA,Russia,24,9,2019,Confirmed Eruption,22309,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kamchatka and Mainland Asia,16,2,2019,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),NA,Karymsky,Karymsky,300130,300130,17075200,1513,54.049,159.443,142893540,10848,0,291,0
NA,Costa Rica,30,9,2019,Confirmed Eruption,22303,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,"79,8",Stratovolcano,LATIN AMER. & CARIB,México and Central America,7,2,2019,Costa Rica,Subduction zone / Continental crust (>25 km),NA,Poas,Poas,345040,345040,51100,2708,10.2,-84.233,4075261,3411023,11107,950796,1947
NA,Indonesia,9,6,2019,Confirmed Eruption,22316,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,6,2,2019,Sumatra,Subduction zone / Continental crust (>25 km),NA,Sinabung,Sinabung,261080,261080,1919440,2460,3.17,98.392,245452739,7646863,13801,163630,997
NA,Solomon Islands,11,4,2020,Confirmed Eruption,22313,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite, , , , ,Basalt / Picro-Basalt,Dacite, , , ,"19,4",Stratovolcano,OCEANIA,Melanesia and Australia,8,12,2018,Santa Cruz Islands,Subduction zone / Crustal thickness unknown,2,Tinakula,Tinakula,256010,256010,28450,796,-10.386,165.804,552438,20155,19,19,0
NA,Chile,7,5,2019,Confirmed Eruption,22297,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt, , , , ,"21,3",Stratovolcano,LATIN AMER. & CARIB,South America,7,11,2018,Central Chile and Argentina,Subduction zone / Continental crust (>25 km),1,Planchon-Peteroa,Planchon-Peteroa,357040,357040,756950,3977,-35.223,-70.568,16134219,634959,48,1345,6
NA,Colombia,26,10,2018,Uncertain Eruption,22298,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"38,3",Stratovolcano,LATIN AMER. & CARIB,South America,26,10,2018,Colombia,Subduction zone / Continental crust (>25 km),NA,"Ruiz, Nevado del","Ruiz, Nevado del",351020,351020,1138910,5279,4.892,-75.324,43593035,4252435,20146,507608,3849
NA,Japan,3,2,2019,Confirmed Eruption,22296,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite, , , , ,Basalt / Picro-Basalt, , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",21,10,2018,Ryukyu Islands and Kyushu,Subduction zone / Oceanic crust (< 15 km),3,Kuchinoerabujima,Kuchinoerabujima,282050,282050,377835,657,30.443,130.217,127463611,149518,1698,5348,1544
NA,Indonesia,6,10,2018,Confirmed Eruption,22295,Eruption Observed,Historical Observations,2018,Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,4,10,2018,Halmahera,Subduction zone / Oceanic crust (< 15 km),1,Gamalama,Gamalama,268060,268060,1919440,1715,0.8,127.33,245452739,536972,204820,308691,103429
NA,Indonesia,16,12,2018,Confirmed Eruption,22293,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,2,10,2018,Sulawesi,Subduction zone / Continental crust (>25 km),3,Soputan,Soputan,266030,266030,1919440,1785,1.112,124.737,245452739,1696768,69991,501336,4724
NA,Russia,21,9,2018,Uncertain Eruption,22287,Eruption Observed,Historical Observations,1960,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kuril Islands,21,9,2018,Kuril Islands,Subduction zone / Oceanic crust (< 15 km),1,Ketoi,Ketoi,290200,290200,17075200,1172,47.35,152.475,142893540,90,10,11,1
NA,Russia,15,10,2018,Confirmed Eruption,22288,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite, , , , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kuril Islands,8,9,2018,Kuril Islands,Subduction zone / Intermediate crust (15-25 km),2,Sarychev Peak,Sarychev Peak,290240,290240,17075200,1496,48.092,153.2,142893540,148,143,143,17
NA,United States of America,31,10,2018,Confirmed Eruption,22289,Eruption Observed,Historical Observations,2020,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite,Trachyandesite / Basaltic Trachyandesite, , , , , , ,"31,0",Stratovolcano,NORTHERN AMERICA,Alaska,8,9,2018,Aleutian Islands,Subduction zone / Intermediate crust (15-25 km),1,Semisopochnoi,Semisopochnoi,311060,311060,9631420,1221,51.93,179.58,298444215,0,0,0,0
NA,Russia,21,8,2018,Confirmed Eruption,22281,Eruption Observed,Historical Observations,2018,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kuril Islands,20,8,2018,Kuril Islands,Subduction zone / Continental crust (>25 km),1,Alaid,Alaid,290390,290390,17075200,2285,50.861,155.565,142893540,2887,64,64,0
NA,Ecuador,7,12,2018,Confirmed Eruption,22283,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite, , , , ,Dacite,Basalt / Picro-Basalt, , , ,"47,8",Stratovolcano,LATIN AMER. & CARIB,South America,8,8,2018,Ecuador,Subduction zone / Continental crust (>25 km),2,Sangay,Sangay,352090,352090,283560,5286,-2.005,-78.341,13547510,1355275,1675,15130,231
NA,Costa Rica,11,6,2019,Confirmed Eruption,22282,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Rhyolite,Dacite, , , , , , , ,"79,8",Complex,LATIN AMER. & CARIB,México and Central America,28,7,2018,Costa Rica,Subduction zone / Continental crust (>25 km),1,Rincon de la Vieja,Rincon de la Vieja,345020,345020,51100,1916,10.83,-85.324,4075261,659105,1428,78668,271
Summit crater and NNW flank,Ecuador,23,8,2018,Confirmed Eruption,22279,Eruption Observed,Historical Observations,2018,Basalt / Picro-Basalt, , , , , , , , , ,"47,8",Shield,LATIN AMER. & CARIB,South America,26,6,2018,Galapagos Islands,Rift zone / Oceanic crust (< 15 km),2,"Negra, Sierra","Negra, Sierra",353050,353050,283560,1124,-0.83,-91.17,13547510,9884,408,983,408
NA,Nicaragua,15,8,2018,Confirmed Eruption,22277,Eruption Observed,Historical Observations,2018,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"43,0",Stratovolcano,LATIN AMER. & CARIB,México and Central America,21,6,2018,Nicaragua,Subduction zone / Continental crust (>25 km),1,Telica,Telica,344040,344040,129494,1036,12.606,-86.84,5570129,2982538,21990,327294,1079
NA,Indonesia,17,4,2020,Confirmed Eruption,22275,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , ,Trachyte / Trachydacite, , , , ,"127,9",Caldera,ASIA (EX. NEAR EAST),Indonesia,18,6,2018,Krakatau,Subduction zone / Continental crust (>25 km),3,Krakatau,Krakatau,262000,262000,1919440,155,-6.102,105.423,245452739,6326159,7177,8027,7177
NA,Indonesia,17,4,2020,Confirmed Eruption,22264,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite, , , ,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,11,5,2018,Java,Subduction zone / Continental crust (>25 km),3,Merapi,Merapi,263250,263250,1919440,2910,-7.54,110.446,245452739,24728414,185849,4348473,49205
NA,Russia,30,9,2018,Confirmed Eruption,22265,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kamchatka and Mainland Asia,28,4,2018,Kamchatka Peninsula,Subduction zone / Continental crust (>25 km),3,Karymsky,Karymsky,300130,300130,17075200,1513,54.049,159.443,142893540,10848,0,291,0
Verbeek Crater,Indonesia,2,5,2018,Confirmed Eruption,22262,Eruption Observed,Historical Observations,2018,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, , , , , , , ,"127,9",Complex,ASIA (EX. NEAR EAST),Indonesia,27,4,2018,Sumatra,Subduction zone / Continental crust (>25 km),2,Marapi,Marapi,261140,261140,1919440,2885,-0.38,100.474,245452739,4059773,57453,818039,706
NA,Nicaragua,22,4,2018,Confirmed Eruption,22266,Eruption Observed,Historical Observations,2019,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite, , , , , , , ,"43,0",Stratovolcano,LATIN AMER. & CARIB,México and Central America,22,4,2018,Nicaragua,Subduction zone / Continental crust (>25 km),1,San Cristobal,San Cristobal,344020,344020,129494,1745,12.702,-87.004,5570129,2002579,7876,351227,208
NA,Indonesia,17,4,2020,Confirmed Eruption,22274,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite, , , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,21,4,2018,Sumatra,Subduction zone / Continental crust (>25 km),1,Kerinci,Kerinci,261170,261170,1919440,3800,-1.697,101.264,245452739,1437454,33878,264107,304
NA,France,1,11,2018,Confirmed Eruption,22261,Eruption Observed,Historical Observations,2020,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,"111,3",Shield,WESTERN EUROPE,Middle East and Indian Ocean,3,4,2018,Indian Ocean (western),Intraplate / Oceanic crust (< 15 km),0,"Fournaise, Piton de la","Fournaise, Piton de la",233020,233020,547030,2632,-21.244,55.708,60876136,717820,55859,246792,55859
Sileri Crater,Indonesia,1,4,2018,Confirmed Eruption,22263,Eruption Observed,Historical Observations,2018,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,"127,9",Complex,ASIA (EX. NEAR EAST),Indonesia,1,4,2018,Java,Subduction zone / Continental crust (>25 km),1,Dieng Volcanic Complex,Dieng Volcanic Complex,263200,263200,1919440,2565,-7.2,109.879,245452739,24381814,1092929,1886942,1092929
Shinmoedake,Japan,27,6,2018,Confirmed Eruption,22257,Eruption Observed,Historical Observations,2018,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,"337,4",Shield,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",1,3,2018,Ryukyu Islands and Kyushu,Subduction zone / Continental crust (>25 km),3,Kirishimayama,Kirishimayama,282090,282090,377835,1700,31.934,130.862,127463611,3972044,8415,407050,647
Summit crater,Ecuador,25,2,2018,Confirmed Eruption,22259,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite, , , , ,Dacite,Basalt / Picro-Basalt, , , ,"47,8",Stratovolcano,LATIN AMER. & CARIB,South America,25,2,2018,Ecuador,Subduction zone / Continental crust (>25 km),1,Sangay,Sangay,352090,352090,283560,5286,-2.005,-78.341,13547510,1355275,1675,15130,231
Motoshiranesan,Japan,23,1,2018,Confirmed Eruption,22258,Eruption Observed,Historical Observations,2018,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",23,1,2018,Honshu,Subduction zone / Continental crust (>25 km),1,Kusatsu-Shiranesan,Kusatsu-Shiranesan,283120,283120,377835,2165,36.618,138.528,127463611,5947593,14296,434049,4485
NA,Colombia,18,12,2017,Uncertain Eruption,22348,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"38,3",Stratovolcano,LATIN AMER. & CARIB,South America,18,12,2017,Colombia,Subduction zone / Continental crust (>25 km),NA,"Ruiz, Nevado del","Ruiz, Nevado del",351020,351020,1138910,5279,4.892,-75.324,43593035,4252435,20146,507608,3849
NA,Philippines,9,12,2017,Confirmed Eruption,22249,Eruption Observed,Historical Observations,2017,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite, , , , , , , , ,"298,2",Stratovolcano,ASIA (EX. NEAR EAST),Philippines and SE Asia,9,12,2017,Central Philippines,Subduction zone / Continental crust (>25 km),2,Kanlaon,Kanlaon,272020,272020,300000,2435,10.412,123.132,89468677,9345000,40276,923257,1662
Summit crater,Indonesia,13,6,2019,Confirmed Eruption,22241,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite, , , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,21,11,2017,Lesser Sunda Islands,Subduction zone / Continental crust (>25 km),3,Agung,Agung,264020,264020,1919440,2997,-8.343,115.508,245452739,4550176,76781,968381,5657
NA,Indonesia,9,11,2017,Confirmed Eruption,22248,Eruption Observed,Historical Observations,2017,Andesite / Basaltic Andesite, , , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,9,11,2017,Sumatra,Subduction zone / Continental crust (>25 km),1,Dempo,Dempo,261230,261230,1919440,3142,-4.016,103.121,245452739,2307584,9613,96058,124
NA,Solomon Islands,26,10,2017,Confirmed Eruption,22239,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite, , , , ,Basalt / Picro-Basalt,Dacite, , , ,"19,4",Stratovolcano,OCEANIA,Melanesia and Australia,21,10,2017,Santa Cruz Islands,Subduction zone / Crustal thickness unknown,3,Tinakula,Tinakula,256010,256010,28450,796,-10.386,165.804,552438,20155,19,19,0
NA,Russia,13,11,2017,Confirmed Eruption,22308,Eruption Observed,Historical Observations,2019,Andesite / Basaltic Andesite, , , , , , , , , ,"8,4",Stratovolcano,C.W. OF IND. STATES,Kuril Islands,12,10,2017,Kuril Islands,Subduction zone / Intermediate crust (15-25 km),2,Sarychev Peak,Sarychev Peak,290240,290240,17075200,1496,48.092,153.2,142893540,148,143,143,17
Shinmoedake,Japan,17,10,2017,Confirmed Eruption,22242,Eruption Observed,Historical Observations,2018,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,"337,4",Shield,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",11,10,2017,Ryukyu Islands and Kyushu,Subduction zone / Continental crust (>25 km),2,Kirishimayama,Kirishimayama,282090,282090,377835,1700,31.934,130.862,127463611,3972044,8415,407050,647
NA,Vanuatu,30,10,2018,Confirmed Eruption,22240,Eruption Observed,Historical Observations,2018,Basalt / Picro-Basalt, , , , , , , , , ,"17,1",Shield,OCEANIA,Melanesia and Australia,6,9,2017,Vanuatu,Subduction zone / Intermediate crust (15-25 km),3,Ambae,Ambae,257030,257030,12200,1496,-15.389,167.835,208869,73308,1279,4326,73
NA,Nicaragua,11,11,2017,Confirmed Eruption,22252,Eruption Observed,Historical Observations,2019,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite, , , , , , , ,"43,0",Stratovolcano,LATIN AMER. & CARIB,México and Central America,18,8,2017,Nicaragua,Subduction zone / Continental crust (>25 km),3,San Cristobal,San Cristobal,344020,344020,129494,1745,12.702,-87.004,5570129,2002579,7876,351227,208
NA,Indonesia,13,8,2017,Confirmed Eruption,22273,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite, , , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,13,8,2017,Sumatra,Subduction zone / Continental crust (>25 km),1,Kerinci,Kerinci,261170,261170,1919440,3800,-1.697,101.264,245452739,1437454,33878,264107,304
Summit crater,Ecuador,26,10,2017,Confirmed Eruption,22231,Eruption Observed,Historical Observations,2020,Andesite / Basaltic Andesite, , , , ,Dacite,Basalt / Picro-Basalt, , , ,"47,8",Stratovolcano,LATIN AMER. & CARIB,South America,20,7,2017,Ecuador,Subduction zone / Continental crust (>25 km),2,Sangay,Sangay,352090,352090,283560,5286,-2.005,-78.341,13547510,1355275,1675,15130,231
Summit crater,Indonesia,30,3,2020,Confirmed Eruption,22228,Eruption Observed,Historical Observations,2020,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, , , , , , , ,"127,9",Complex,ASIA (EX. NEAR EAST),Indonesia,15,7,2017,Lesser Sunda Islands,Subduction zone / Continental crust (>25 km),2,Sangeang Api,Sangeang Api,264050,264050,1919440,1912,-8.2,119.07,245452739,809132,1155,39301,204
NA,France,28,8,2017,Confirmed Eruption,22224,Eruption Observed,Historical Observations,2020,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,"111,3",Shield,WESTERN EUROPE,Middle East and Indian Ocean,14,7,2017,Indian Ocean (western),Intraplate / Oceanic crust (< 15 km),0,"Fournaise, Piton de la","Fournaise, Piton de la",233020,233020,547030,2632,-21.244,55.708,60876136,717820,55859,246792,55859
NA,Philippines,5,6,2017,Confirmed Eruption,22229,Eruption Observed,Historical Observations,2017,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt,Rhyolite, , , ,"298,2",Stratovolcano,ASIA (EX. NEAR EAST),Philippines and SE Asia,5,6,2017,Luzon,Subduction zone / Continental crust (>25 km),1,Bulusan,Bulusan,273010,273010,300000,1535,12.769,124.056,89468677,3360418,74286,518705,2789
