country,country (volcano.csv),evidence_category,last_eruption_year,major_rock_1,major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5,Pop. Density (per sq. mi.),primary_volcano_type,Region,region,subregion,tectonic_settings,volcano_name,volcano_number,Area (sq. mi.),elevation,latitude,longitude,Population,population_within_100_km,population_within_10_km,population_within_30_km,population_within_5_km
Guatemala,Guatemala,Evidence Credible,Unknown,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"112,9",Stratovolcano,LATIN AMER. & CARIB,México and Central America,Guatemala,Subduction zone / Continental crust (>25 km),Tahual,342141,108890,1716,14.43,-89.9,12293545,7570087,49010,449894,10052
Yemen,Yemen,Eruption Observed,2008,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt, , , , , , , , ,"40,6",Stratovolcano,NEAR EAST,Africa and Red Sea,Africa (northeastern) and Red Sea,Rift zone / Oceanic crust (< 15 km),"Tair, Jebel at",221010,527970,244,15.55,41.83,21456188,14493,0,0,0
Japan,Japan,Eruption Dated,1739,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Hokkaido,Subduction zone / Continental crust (>25 km),Taisetsuzan,285060,377835,2291,43.664,142.854,127463611,1304267,119,16391,19
Japan,Japan,Eruption Dated,-4570,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,"337,4",Stratovolcano,ASIA (EX. NEAR EAST),"Japan, Taiwan, Marianas",Honshu,Subduction zone / Continental crust (>25 km),Takaharayama,283143,377835,1795,36.9,139.777,127463611,8750106,4572,381490,303
Indonesia,Indonesia,Unrest / Holocene,Unknown,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,Java,Subduction zone / Continental crust (>25 km),Talagabodas,263150,1919440,2201,-7.208,108.07,245452739,24525517,68266,2388005,7953
Indonesia,Indonesia,Evidence Credible,Unknown,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,"127,9",Complex,ASIA (EX. NEAR EAST),Indonesia,Sumatra,Subduction zone / Continental crust (>25 km),Talakmau,261130,1919440,2919,0.079,99.98,245452739,2728121,3261,352639,75
Indonesia,Indonesia,Eruption Observed,2007,Andesite / Basaltic Andesite, , , , , , , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,Sumatra,Subduction zone / Continental crust (>25 km),Talang,261160,1919440,2575,-0.979,100.681,245452739,3283153,18512,214975,1593
Indonesia,Indonesia,Eruption Observed,1967,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , ,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,Lesser Sunda Islands,Subduction zone / Continental crust (>25 km),Tambora,264040,1919440,2850,-8.25,118,245452739,1036033,11331,89006,4156
United States,United States,Eruption Observed,1914,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Dacite, , , , ,"31,0",Stratovolcano,NORTHERN AMERICA,Alaska,Aleutian Islands,Subduction zone / Intermediate crust (15-25 km),Tanaga,311080,9631420,1806,51.885,-178.146,298444215,0,0,0,0
Indonesia,Indonesia,Eruption Observed,1924,Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,"127,9",Stratovolcano,ASIA (EX. NEAR EAST),Indonesia,Sumatra,Subduction zone / Continental crust (>25 km),Tandikat-Singgalang,261150,1919440,2854,-0.39,100.331,245452739,4022932,38799,604282,130
